provider	category	event_id	version	event(fields)	event_type	description
Active Directory Domain Services: SAM	{4ff7a7db-43ca-470a-8b64-3003e2d22042}	1	0	SamGetUserDomPwdInfo_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Get User Domain Password Information
Active Directory Domain Services: SAM	{4ff7a7db-43ca-470a-8b64-3003e2d22042}	2	0	SamGetUserDomPwdInfo_End()	End	SAM Get User Domain Password Information
Active Directory Domain Services: SAM	{5954bc51-c5ec-4aaa-831c-6f2c1b2515b6}	1	0	SamGetMemInGrp_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Get Members In Group
Active Directory Domain Services: SAM	{5954bc51-c5ec-4aaa-831c-6f2c1b2515b6}	2	0	SamGetMemInGrp_End()	End	SAM Get Members In Group
Active Directory Domain Services: SAM	{5cec3d52-6eeb-474d-b468-58362888f1b0}	1	0	SamGetMemInAlias_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Get Members In Alias
Active Directory Domain Services: SAM	{5cec3d52-6eeb-474d-b468-58362888f1b0}	2	0	SamGetMemInAlias_End()	End	SAM Get Members In Alias
Active Directory Domain Services: SAM	{5d11e02f-0c36-4180-ad07-89062c9df9ec}	1	0	SamEnumGrpsInDom_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Enumerate Groups In Domain 
Active Directory Domain Services: SAM	{5d11e02f-0c36-4180-ad07-89062c9df9ec}	2	0	SamEnumGrpsInDom_End()	End	SAM Enumerate Groups In Domain 
Active Directory Domain Services: SAM	{5e612efd-c05e-4f76-bced-f5607aa3d46e}	1	0	SamCreateAliasInDom_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Create Alias In Domain
Active Directory Domain Services: SAM	{5e612efd-c05e-4f76-bced-f5607aa3d46e}	2	0	SamCreateAliasInDom_End()	End	SAM Create Alias In Domain
Active Directory Domain Services: SAM	{5f7c4ba5-d6a4-4625-900e-48fa7811e06a}	1	0	SamDeleteGrp_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Delete Group
Active Directory Domain Services: SAM	{5f7c4ba5-d6a4-4625-900e-48fa7811e06a}	2	0	SamDeleteGrp_End()	End	SAM Delete Group
Active Directory Domain Services: SAM	{62bef71e-899d-11d2-819e-0000f875a064}	1	0	SamUserPwdSet_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM User Password Set
Active Directory Domain Services: SAM	{62bef71e-899d-11d2-819e-0000f875a064}	2	0	SamUserPwdSet_End()	End	SAM User Password Set
Active Directory Domain Services: SAM	{632fcc78-6057-48f9-8d5f-4bb0f73d3cd1}	1	0	SamQueryInfoGrp_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Query Information Group
Active Directory Domain Services: SAM	{632fcc78-6057-48f9-8d5f-4bb0f73d3cd1}	2	0	SamQueryInfoGrp_End()	End	SAM Query Information Group
Active Directory Domain Services: SAM	{676347f3-fd20-4e7d-90b1-77e35f84af9a}	1	0	SamQuerySecurityObj_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Query Security Object
Active Directory Domain Services: SAM	{676347f3-fd20-4e7d-90b1-77e35f84af9a}	2	0	SamQuerySecurityObj_End()	End	SAM Query Security Object
Active Directory Domain Services: SAM	{6ba1639c-afc4-454e-b3e0-5e8f7fc39af9}	1	0	SamRemoveMemFromAlias_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Remove Member From Alias
Active Directory Domain Services: SAM	{6ba1639c-afc4-454e-b3e0-5e8f7fc39af9}	2	0	SamRemoveMemFromAlias_End()	End	SAM Remove Member From Alias
Active Directory Domain Services: SAM	{6e1f2449-f1f3-4634-b51f-46e2c6625892}	1	0	SamOpenDomain_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Open Domain
Active Directory Domain Services: SAM	{6e1f2449-f1f3-4634-b51f-46e2c6625892}	2	0	SamOpenDomain_End()	End	SAM Open Domain
Active Directory Domain Services: SAM	{74e10cbb-202e-4a97-871d-8547972b5141}	1	0	SamSetSecurityObj_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Set Security Object
Active Directory Domain Services: SAM	{74e10cbb-202e-4a97-871d-8547972b5141}	2	0	SamSetSecurityObj_End()	End	SAM Set Security Object
Active Directory Domain Services: SAM	{7c65ceb0-75ba-46b9-884e-67e038c5b003}	1	0	SamEnumDomInSamSrv_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Enumerate Domains In SAM Server
Active Directory Domain Services: SAM	{7c65ceb0-75ba-46b9-884e-67e038c5b003}	2	0	SamEnumDomInSamSrv_End()	End	SAM Enumerate Domains In SAM Server
Active Directory Domain Services: SAM	{880217b8-899d-11d2-819e-0000f875a064}	1	0	SamCompPwdSet_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Computer Password Set
Active Directory Domain Services: SAM	{880217b8-899d-11d2-819e-0000f875a064}	2	0	SamCompPwdSet_End()	End	SAM Computer Password Set
Active Directory Domain Services: SAM	{8919f267-a053-4669-aa69-2da0d4a20d92}	1	0	SamRemoveMemFromForeignDom_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Remove Member From Foreign Domain
Active Directory Domain Services: SAM	{8919f267-a053-4669-aa69-2da0d4a20d92}	2	0	SamRemoveMemFromForeignDom_End()	End	SAM Remove Member From Foreign Domain
Active Directory Domain Services: SAM	{89399c21-4aaf-408e-ba39-ab831a1298d5}	1	0	SamQueryInfoDom_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Query Information Domain
Active Directory Domain Services: SAM	{89399c21-4aaf-408e-ba39-ab831a1298d5}	2	0	SamQueryInfoDom_End()	End	SAM Query Information Domain
Active Directory Domain Services: SAM	{8c89045c-3f5d-4289-939a-fb854000cb6b}	1	0	SamConnect_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Connect
Active Directory Domain Services: SAM	{8c89045c-3f5d-4289-939a-fb854000cb6b}	2	0	SamConnect_End()	End	SAM Connect
Active Directory Domain Services: SAM	{96bd320f-1e51-4c06-86f3-ee64f0a2f0cf}	1	0	SamProcessMappedAttributes_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Process Mapped Attributes
Active Directory Domain Services: SAM	{96bd320f-1e51-4c06-86f3-ee64f0a2f0cf}	2	0	SamProcessMappedAttributes_End()	End	SAM Process Mapped Attributes
Active Directory Domain Services: SAM	{a11e5d6b-353d-4bf6-97a8-ede4cba45524}	1	0	SamLookupDomInSamSrv_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Lookup Domain In SAM Server
Active Directory Domain Services: SAM	{a11e5d6b-353d-4bf6-97a8-ede4cba45524}	2	0	SamLookupDomInSamSrv_End()	End	SAM Lookup Domain In SAM Server
Active Directory Domain Services: SAM	{a41d90bc-899d-11d2-819e-0000f875a064}	1	0	SamIdByName_Start(String Sam, UInt32 Version, String Sid, String Client)	Start	SAM Id By Name
Active Directory Domain Services: SAM	{a41d90bc-899d-11d2-819e-0000f875a064}	2	0	SamIdByName_End()	End	SAM Id By Name
