provider	category	event_id	version	event(fields)	event_type	description
MSDART.1	{ceb7253D-bb96-9dfe-51d1-53d966d0cf8b}	17	0	MSDART_TextA(UInt32 ModID, Object msgStr)	TextA	MSDART.1 formatted output (A)
MSDART.1	{ceb7253D-bb96-9dfe-51d1-53d966d0cf8b}	18	0	MSDART_TextW(UInt32 ModID, Object msgStr)	TextW	MSDART.1 formatted output (W)
