provider	category	event_id	version	event(fields)	event_type	description
DBNETLIB.1	{BD568F21-FCCD-B948-054E-DB3421115D61}	17	0	Bid2Etw_DBNETLIB_1_Trace_TextA(UInt32 ModID, Object msgStr)	TextA	DBNETLIB.1 formatted output (A)
DBNETLIB.1	{BD568F21-FCCD-B948-054E-DB3421115D61}	18	0	Bid2Etw_DBNETLIB_1_Trace_TextW(UInt32 ModID, Object msgStr)	TextW	DBNETLIB.1 formatted output (W)
